"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1407.4416179259651,1358.3475726254167,1374.8827292348817,1389.2216879442597,1398.0038863900845,1373.8859406406027,1188.9868865281758,1071.6677149606048,984.3416782262676,372.7514009944215,473.25200849252155,334.8412855275234
[8.0-8.5),,,,,,,,,,1490.081228508859,1405.8288401689274,1324.1913683926284,1277.569387831257,1275.1265558948903,1163.2749018174209,1293.42848097364,1278.3630253592607,577.7838012538732,1178.4767684406777,395.3263535106868,371.49994711039693,362.42062878959626
[7.5-8.0),,,,,,,,,,1516.9957775691248,1292.2226682064215,1458.0510133672535,1216.7789737280873,1146.7270711069489,1080.1581947307568,1155.536044746065,1214.1820869085736,348.384683267602,348.4824698585461,1178.3649630694042,338.0111232514276,226.67546443335021
[7.0-7.5),,,,,,,,,,1313.158459338426,1040.2806895543783,1218.7088873295738,1125.8471055222558,1270.1729613974317,793.2601042036382,389.72334253687825,999.348330125165,937.4392353859112,339.5611749169341,219.94523039500243,308.783639014374,277.29151027041786
[6.5-7.0),,,,,,,,,,1242.080595465226,1146.193338839278,1108.031065121418,820.0780252636962,1085.925369977647,348.47703318722137,341.17659985572254,359.463694716264,350.3635932130703,216.66777666953445,319.3215506705547,284.67942628177576,270.97104899057194
[6.0-6.5),,,,,,,,,1712.5471529010042,1251.463579611846,1098.0558330454,1099.4034231783119,352.33780346844173,372.3266957145747,1174.2799011762088,347.7214493363342,357.02316353447947,252.57709638361706,294.03565705614693,176.59792930856548,175.26561275486893,95.88980228116213
[5.5-6.0),,,,,,,,,979.9954814299174,1210.4045899129783,1117.7169006051859,475.7179632690038,340.75869246444233,349.1040814294266,319.04014326508366,309.9260013745555,321.228489290273,183.26453067916975,162.65580260741373,259.0331486620535,78.15898416991874,98.52719133549627
[5.0-5.5),,,,,,,,986.1834369801513,633.898239579599,464.7014833768759,1035.8804340865113,896.1376561738716,342.2181801831572,322.6729313021589,269.7300825262307,248.55479346492342,125.34760823568942,255.3394663687676,86.05544531485708,66.2369651813479,69.84924879137017,60.35612678273247
[4.5-5.0),,,,,,,,762.7285432857407,1066.7170013445248,386.15513931137474,325.59348177618125,327.5837853545841,339.3624535631103,334.1895927739264,158.72460565111027,237.11018593009334,89.3173342716076,144.40316288201348,88.42721676011166,74.16714934231584,61.72558212358811,88.28194676873372
[4.0-4.5),,,,,,,838.292877879922,795.1439198172154,602.2301402103781,374.0604879654777,306.7105572586088,322.8026265559903,338.29165275440846,184.3380081786538,271.4398762665507,98.56939543352428,87.00931138863425,72.72764965721392,97.95266659416778,42.798946983675584,43.074933205162665,34.49480867614753
[3.5-4.0),,,,,,1036.2246276664064,897.0258728326293,474.6843924965572,364.02463302870683,342.04264977883406,298.6495244099691,186.7700468561793,176.8717887323482,167.2153052849098,281.5099790969351,94.1499640198284,56.126353803409174,52.69670637239563,54.5788800233603,23.355935843092155,29.160195794393783,38.09582461873664
[3.0-3.5),,,,,,605.6489811405918,544.3981748347019,326.4923316441209,360.3517707469269,174.99150139787963,172.42541548975942,98.05282738848229,87.37580331202729,85.25293830064695,49.22672152981149,49.82982114017361,44.10636701659411,39.660136434050436,47.46991369493,22.539094038309468,23.030565130423106,28.64915785700606
[2.5-3.0),,,,,,564.7704000129526,323.3207340731159,300.69046739935357,254.00711235789504,277.64252017682503,85.1749262151771,59.06572166453337,67.10456562336576,51.13339246044507,48.60981747348435,43.47052644543655,22.935154427773128,24.44114722625003,19.040652599494035,32.30908056829557,14.994162985531622,15.300107875847734
[2.0-2.5),,,,,445.5127091455437,273.7164482022615,258.6718571853215,86.52666343373059,312.49551038501613,61.96351077309714,118.61262677264206,46.92363522976494,32.9406006261202,29.525346746802114,33.30936124112145,21.629253643102977,24.779311602310155,19.356035522872432,15.885286841355166,16.992464787021973,15.11130802584611,12.023796879824255
[1.5-2.0),,,,695.030320609038,252.80001740824696,133.91517854130163,88.54202815900912,80.73865069399105,71.60533802173778,46.31403520467544,37.43846873963016,31.552127824551274,27.59720620120023,23.734529578392074,20.81651802186785,16.993319098286356,14.246793365422267,15.47537593806051,12.29870682861506,12.470727356359275,10.582152840312158,9.774434633876623
[1.0-1.5),,,291.46613793785366,196.3762040514179,133.06722129955367,86.59712561204023,64.75643322953701,57.75777137716096,41.4404268634954,31.934519612704236,25.565180516702682,22.24842256516724,20.753081675900827,16.06610044210777,15.377540179992259,11.884895804747906,12.690221224349099,9.548750729593817,9.667295229754242,7.72938817681159,7.60039072276404,7.892688543757522
[0.5-1.0),,302.4989966975584,129.24231335543297,102.9404971826049,71.48897357853527,52.04606285504311,34.815456334350905,28.358037908037197,25.460853604362644,18.212442664675184,15.455158018317041,13.777808293891365,10.492494813651586,10.08268509126271,8.820324714664956,7.198460337145661,6.735200402411202,5.353228844519384,5.613535719405083,4.317737366890086,4.348720400792802,3.8942103300307607
[0.0-0.5),156.10806702216448,76.30877804260632,42.983722205386016,30.558870590046585,26.00177475892882,17.366081226397174,12.83793382978944,9.409752053546919,8.274432653858913,6.191719253174794,5.715680883290557,5.604619138215622,4.243583450407047,3.372455334582694,2.87170029302116,2.1943672616643135,2.1765818136481876,1.9865243194151032,1.7059054629423436,1.639486430674314,1.4718633139081814,1.1968762552697871
