"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,8.617289983946138,10.269027292234629,10.440580532106594,9.604133961186083,9.274076374926638,11.94531191945816,8.307927392349006,10.276246734572982,11.350068211027999,10.216330332486482,9.138276288038353,9.468561036931675
[8.0-8.5),,,,,,,,,,8.953627252954494,7.6406213233749956,9.075868448457854,8.264691729099896,8.04613984439581,7.999746585660014,7.887151976897302,8.555030572159456,9.090255011807823,9.81390755475504,8.409466826250334,8.720608651249906,9.681350608905163
[7.5-8.0),,,,,,,,,,6.241780568794956,7.522969283242016,7.624626812141679,7.822882019722714,8.327260546187901,8.299665057960313,8.080796627284752,8.384371765013658,10.657740318003825,8.289949902274099,9.722844187426823,9.291922352498812,8.165055713696598
[7.0-7.5),,,,,,,,,,7.576180971592775,7.061706458180716,7.076155740089344,7.248541461715888,7.1381640609951855,7.8348539219295885,9.216235787163377,9.525984478304057,9.200728693417556,6.895071111032163,7.687582212247065,9.40364650977481,7.615620635188964
[6.5-7.0),,,,,,,,,,7.4563896575201785,7.168266836595109,6.4128490830215625,6.341812409777625,6.362104653090993,6.420439853101738,7.356535895303367,6.794807221001168,7.562120261380146,6.363457987393448,7.632600616382245,6.794861564582613,7.143604247357035
[6.0-6.5),,,,,,,,,6.068405576612547,6.113373810764954,5.971194475004407,7.377423857292968,5.6780771293293215,6.397021404661267,8.055989904023358,6.60188382431828,5.843103341882815,5.888440786712809,8.462579119600225,6.660157214786019,7.804137450241693,5.667954546474756
[5.5-6.0),,,,,,,,,4.825322362881558,5.4246318686299,6.155789705559012,5.162291172578287,5.2399640759472375,5.663248292687911,6.168249732240152,5.692238224738794,5.65261771837902,5.464864650746945,5.9536983926380325,7.248600309598265,6.928003053139161,5.083613314220189
[5.0-5.5),,,,,,,,4.2388544922700735,5.030569621224339,4.468004544998008,5.4757370836827555,4.4981681878830315,4.83477213667175,4.772896545787858,4.882837400655264,4.888385671738048,3.9750994351550544,5.2916896655083,4.751873501588288,4.41057998279881,5.484646665526466,4.989317488260476
[4.5-5.0),,,,,,,,4.2199897313347705,4.983389538617688,3.9007834478022616,3.9990575544536298,4.304794915655213,3.853212157682882,3.673546651269908,4.448132990555403,4.173245368932894,4.616600041545896,4.278938927732144,4.0797033302249375,3.9856951219621894,4.060294876775609,5.30762255413601
[4.0-4.5),,,,,,,3.4684247543878017,3.917318082008898,3.3481241427942985,3.226472843891745,3.4901246857563732,3.596042745416879,3.7774352729887744,3.1532711018316024,4.058983928469851,3.7334555492336934,3.50345145860358,4.281290346286614,4.090983007378732,4.273376205881578,3.672280679856489,3.5156847679855834
[3.5-4.0),,,,,,3.0845383309841363,3.9336651041656223,2.834388216875128,2.6821259350390605,3.0724235823940953,2.5682396136038665,3.0441128848229004,3.412628088884045,3.153861602885218,3.984328923284037,3.56557064596364,3.3265498731003666,3.447995942127094,3.1578644349706977,2.852093622811114,3.6452016257712785,2.90031635308629
[3.0-3.5),,,,,,2.403533345721833,2.4390788788752706,2.4686242614708895,2.5633868663121495,2.608970549758868,2.214260982831476,2.461628750891294,2.5728208597992213,2.6825079549899007,2.4118132238021737,2.488380519075817,3.123379771288235,2.205843823268272,2.559076827148772,2.6414140231588785,3.2103115545076086,2.3915863653260487
[2.5-3.0),,,,,,1.9701125846497445,1.957473050661013,2.2933775275797306,2.2803186896776553,2.1152294236982407,1.9611163668484173,1.8902264419991843,2.0063391110741464,2.1769160221391513,1.8643898184658787,1.9862474133622494,2.4199877367914278,2.1519868093489265,2.3020676871411867,2.5066682092788986,1.6931277132129328,2.129699478058909
[2.0-2.5),,,,,1.6700443342615325,1.5407758697913518,1.6284117428314093,1.506428866020305,1.8938378375393183,1.686666262925768,1.867733920456274,1.5028021474265603,1.3840216017214115,1.8492876200766357,1.443951033219927,1.4807288037417319,1.9208720866039748,1.5595289379783908,1.8523617811248145,1.5540509724133087,1.7919009310688492,1.319571651461417
[1.5-2.0),,,,1.299086257527407,1.2972189047907186,1.210953696424685,1.1289873369956933,1.2303581426381323,1.4918600429705107,1.0342352277994329,1.0904474721801223,0.9599542808871285,1.2582093034735298,1.1624600924940443,1.2179176513807557,1.0144673094563788,0.9723934228138534,1.0492583988852116,1.1788306817142367,1.389489377207901,0.9036258352268046,1.0005962034970182
[1.0-1.5),,,1.0093410102385534,0.9963465203959644,0.8492984677047244,0.8179875147143842,0.8428421748561489,0.6385422602259689,0.711887447258923,0.7554584626659915,0.6430650991234053,0.5850252424517026,0.786877989407065,0.6226760911857112,0.6229119102965972,0.7547126945495394,0.721378283177124,0.6005308982695687,0.5834772924621667,0.5483598105785672,0.5495875018021812,0.45857463769069334
[0.5-1.0),,0.5670998665348734,0.5937489758404524,0.48522844192740644,0.4958983516491623,0.40200370468992463,0.3917015934208925,0.35685468699077055,0.36860333969089254,0.2652868309055799,0.2728570877247868,0.3886270323864208,0.3059760670283721,0.30810504040618875,0.2718056229129253,0.29876377332982273,0.25427305768224373,0.26378587072025506,0.27826286466622036,0.24818434860596889,0.22306448552726327,0.2949119971331303
[0.0-0.5),0.14563637352204678,0.2079020230046019,0.2060317463463364,0.20662496500003913,0.14014440178107399,0.1243414212764503,0.11983201182352823,0.09236944254957202,0.09129654697265269,0.06304252756915128,0.06305917327888115,0.05493185866359196,0.051517534120528154,0.05104703616499398,0.05439555864734513,0.04930179859866969,0.04941908563317603,0.05028830238592928,0.04186734175141679,0.044860758944585306,0.044999266383707694,0.047305652265097906
