"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Peak To Average []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,17.02848786646388,28.04301879363699,26.34873853207703,19.47574467221477,13.962537387733938,26.866640793675998,17.91594272395902,20.340169809938402,21.52134235808886
[8.0-8.5),,,,,,,,,,18.876927290766076,16.935152208386146,23.48012734324505,17.12974108278057,18.92254246126384,15.87625226182999,16.541562725924347,18.391036544016018,32.12081216711785,24.822085813279887
[7.5-8.0),,,,,,,,,,30.26992608432805,18.470529998373596,18.574657829688366,18.481666833280705,21.88654142003158,31.036714201282706,21.624519516789775,18.674965227731196,20.946043166231583,23.567150298293292
[7.0-7.5),,,,,,,,,,21.77773129807458,21.39572586077381,16.570821265888604,21.526358820463056,27.428206672882197,25.36968607694889,17.779072136149626,23.778782963963582,21.94777000229195,20.056795170410183
[6.5-7.0),,,,,,,,,,17.671018809690807,26.312205213601437,16.577480765004257,15.309484156727544,20.76205748995156,18.126816028567983,19.329109438737603,15.307949896289266,21.878520691863372,19.043819757479618
[6.0-6.5),,,,,,,,,14.066773392022478,19.513105674546658,22.799022437795685,19.67554434923607,21.205468345151342,20.536114401902157,30.404858337550046,17.365143867698407,26.393524734126206,17.747221049191136,37.343691588416085
[5.5-6.0),,,,,,,,,13.837191098569852,18.709027535432824,31.778149344214107,16.957198672487213,21.187184325668838,20.039615418783068,25.163296968826963,23.606517912171523,19.273089539740138,20.365291360093625,34.783950360006244
[5.0-5.5),,,,,,,,11.990916201430023,19.108290156425102,21.177109563224498,21.293365055218853,24.09215924571578,21.61906871457629,17.426856959715646,20.0910444009615,25.265869226798436,22.2319874346114,19.230108144481807,21.41636220298554
[4.5-5.0),,,,,,,,15.326417299037317,25.854716612591826,16.22806654160856,18.22485905841622,21.029344470319362,17.753614305119793,21.785598965569804,21.84138668807535,17.924057266086024,24.564728911446906,21.832158453502714,17.758961710629716
[4.0-4.5),,,,,,,15.259887832085173,13.366234374104975,14.901357518938067,16.44837950828321,14.905173998758618,16.4224321916919,20.24194539726742,17.684400208943487,24.877320668795377,23.59982188573933,19.070032685209696,24.9301910412592,18.095818955895886
[3.5-4.0),,,,,,13.353264017997606,15.483321343521148,18.28472101833846,18.833782466500008,15.335416561338699,12.416269472768192,17.021156705196322,25.145847886648234,22.868341059470456,28.03615193726774,21.653271223167625,22.88544065847322,32.66137620270257,19.241287707913298
[3.0-3.5),,,,,,13.57413738658288,15.033049770972054,16.40008212860093,15.23640051763554,19.206115099813772,14.4560264909138,19.012268072719785,15.472841349705808,18.04638296759944,19.23734515650153,20.212509810199155,25.210422373853085,30.91433161637399,23.897666394185556
[2.5-3.0),,,,,,12.975139560411575,16.473847661834714,17.92435594588148,18.61550127747429,19.460886310717466,14.441777595611658,15.97668712981072,17.977983270733734,19.15874358961712,22.287380387273537,22.48476947307548,24.04912086304092,18.904563524999947,24.970441039433947
[2.0-2.5),,,,,12.292164782086072,13.42903217676576,13.793332880687768,18.069525206875888,25.31031376570949,19.113391865170687,23.829520911649983,14.185076102723166,24.636089803090137,22.71997421382087,19.73868624564492,19.87343340617839,21.452338798383696,22.238098218733093,20.634202131496252
[1.5-2.0),,,,14.072770539437583,12.350452827912564,17.06772951809035,13.965102195055115,18.41660002495918,22.447352297348996,15.461117723072196,15.225649712056056,16.51671015896954,18.17112029222132,22.692270150802646,23.090761218878583,16.226820514878465,14.922796391836501,20.238043074653934,17.21197389927576
[1.0-1.5),,,14.325035171027185,13.80194441573019,13.105787258753983,12.921488306570351,16.9120509696952,15.380773020787217,17.152009733767525,13.004167820206948,16.655891056990257,11.888811727471742,25.742958689495484,15.313899707936072,20.27851836198962,21.22093744804185,27.1231059103401,20.484815181239878,15.23580486875249
[0.5-1.0),,15.503731421027362,13.953287750700353,14.284776931294825,13.111518034614093,13.958748910343276,14.290300639319286,10.751490069639571,11.58070953308597,12.58185001591517,11.914456842739789,16.09273505911463,11.943199159465797,14.313159439629596,13.176459555834656,15.537510405667298,14.093058339646042,13.945100512471091,15.637797202881568
[0.0-0.5),12.521275387913988,15.708992793479068,14.13078883812213,19.845738117779668,13.702981504150195,19.66090839044367,20.82528790257122,16.39318855034428,16.71477352093796,16.47862659808861,12.234282231970917,13.50201408574257,11.682390136917919,14.027142656420232,20.560532489707565,12.616635423522897,13.49951116064467,14.729561826974127,12.380804775770523
