"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,80088.73084989308,72060.94925365564,61892.35076167291,64552.36476538944,62417.36136317414,59702.48779391312,50065.42113663824,52401.39327110713,52157.65517658756,52765.54523819296,49071.495066950214,40299.05637367726
[8.0-8.5),,,,,,,,,,84381.60312366606,74607.45604189884,68380.0362402672,59065.98920795984,59569.42165827819,53692.60278895305,49756.3280187026,47946.08163033044,47997.995526965475,43187.66179301034,40138.76946491583,41362.12429784303,38636.487377758305
[7.5-8.0),,,,,,,,,,68799.10624715083,64473.277636328654,59697.011817967476,55915.40955456313,48850.77613546485,46325.555189142964,43915.97725658134,43672.82388015821,42447.789855967916,36592.46555305693,36121.386806407696,34480.84797845703,33658.41364395852
[7.0-7.5),,,,,,,,,,61828.32031241006,55756.55975886727,50256.07255497825,47649.65090191593,42449.970159843804,40992.69094029184,38464.52407715833,36775.138235746344,36121.57096352776,31697.818315304572,29115.396574720977,30896.358670062342,28146.098806217888
[6.5-7.0),,,,,,,,,,53811.535758440856,50123.176475894405,45075.05973807667,42160.36570164239,38130.24890086521,37971.46927504191,35433.072044650784,34913.812026832464,30423.2161545465,27906.31724285204,29538.280108668572,30702.143919853737,29902.12449996938
[6.0-6.5),,,,,,,,,54588.75251173477,47465.993868568934,44197.46577370095,39813.97875347903,36315.562231949,37212.56386639341,31920.021593362006,30521.706285324613,27943.306512755134,26118.660945737927,26668.370852696138,23942.615904439688,24942.507477844625,21440.750083689243
[5.5-6.0),,,,,,,,,47539.154749699075,44174.4985808937,38039.24131047888,33374.68668394283,30773.02473533242,28663.97731345335,26786.309561788206,25115.509354649905,23258.17514753595,22779.828144495263,22196.251259866083,22336.513569663482,18475.34267606428,20096.014771250426
[5.0-5.5),,,,,,,,43076.920210521304,38887.40295266407,34696.80830756077,32190.159830772616,28245.224004653992,25638.121539371332,23134.58524034976,22867.080720749338,19801.88117525891,18575.848281840845,19343.11189787287,18322.985027828927,16488.422215983457,17388.716263439073,14307.577721728405
[4.5-5.0),,,,,,,,36035.259117159534,32229.93153016254,27923.71994367642,25671.302617520167,24621.88624885228,21318.816237586852,20523.65213102172,19129.491858460075,16615.020035561538,16440.19586985658,15282.785639041702,15100.926095736755,13684.603574988225,11855.79991717804,13614.940757012037
[4.0-4.5),,,,,,,30383.240504263984,28187.121884273638,27159.674583587366,24288.431445685037,21175.00941693853,19648.83726808621,18101.539114131,16576.4391260034,15513.206752768376,14198.767845164213,13738.718006817286,12625.883324810682,12807.648242023075,11612.353599250024,10252.386111309097,11017.068864335448
[3.5-4.0),,,,,,26054.071991175064,24729.858923055934,21798.668504728084,20110.35772762339,19342.016618790512,17091.89529504992,15322.451552004675,13792.197081505179,13553.9034876832,11521.854171353283,11780.809194763693,10749.382587183536,9666.171561066658,10181.524425065585,8611.40775100015,9275.650220225272,7621.624057944878
[3.0-3.5),,,,,,19394.510094741516,18805.05289761394,16911.770371216604,15078.177381706168,13706.89216278169,12639.630586898671,11565.029558576754,10763.828411116798,9917.094299544968,9166.830380942307,8728.537993679367,8454.366043886166,7341.6850042484275,6512.270879423742,6681.12861477863,6339.737128440144,6650.889291084511
[2.5-3.0),,,,,,13950.42814615908,13534.444714224093,12458.597956721143,11885.685212461498,10106.373029414199,9464.393521774193,8380.255913296829,8032.25286405347,7169.673882649413,6537.1918433871715,6013.232617598812,6026.098540705781,5144.998843275534,5337.38323957119,5601.692612092418,4448.176514048489,4631.184090712585
[2.0-2.5),,,,,9989.714602297634,9549.473830308893,9178.931590222206,8217.116229754098,7596.433171230366,7335.24990823378,6525.540992691803,6004.082005470571,5284.453563028425,4699.298104076144,4550.069938828523,4195.666961402154,3845.2778703038216,3542.5821054240564,3654.9075050346296,3537.186835461803,3253.438310530543,3150.1693104642486
[1.5-2.0),,,,5970.998979313013,6142.432358444744,5903.9467365396595,5490.248718285862,5146.458217569773,4859.4376115852165,4296.579373876337,3886.4131800801856,3334.7822961995807,3361.9472468308227,3031.17339145619,2879.750086098545,2620.222310256892,2544.7896371629686,2322.540896703388,2149.0865195398787,2116.3507498847994,1953.235675638643,1858.1344936769967
[1.0-1.5),,,2660.11560318169,3128.8522724605255,3210.890695585513,3063.530543372144,2842.287133807153,2723.3739514176564,2374.408105750012,2136.8207036654653,1987.1823663432829,1856.8928613418484,1796.6346822112553,1588.0595700784872,1457.99793614241,1438.4403556017735,1309.0393545540394,1239.2034401666256,1116.4272854464782,1021.1824441487414,1083.5305924523946,959.0896354973173
[0.5-1.0),,621.4691331352205,983.1983353086263,1165.0132706829338,1194.0895213260392,1145.1552435166805,1063.8279886416415,967.3035259523457,897.1086962883794,794.3586706196986,715.8790499559243,690.8844531921055,633.5225150506678,573.2767559794739,515.0745028260246,534.618577857421,496.94483142523,437.3914188789067,424.7483097014131,384.02595059470207,379.7807814223322,388.62806581756837
[0.0-0.5),9.852485364297333,70.60282408999878,114.43394401782221,136.8491676813654,140.15616826145717,131.98076967884302,123.3445975644974,114.31230402141206,110.2518561753586,93.49099508455251,82.99473805561827,74.4860153177558,69.25757682158884,64.82235522378738,64.50430090946661,55.71158065011211,55.35143234385137,50.52192411660341,51.77253018064418,48.04816256700741,45.320201476119855,46.19833641082148
