"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-6.004621624098632,-5.880188236511724,-6.000912743013012,-7.233389284898503,-5.692337994370725,-6.703762690951199,-5.619646311468375,-6.382209787100232,-7.129029111956744
[8.0-8.5),,,,,,,,,,-6.11352448016937,-5.750267996990529,-5.387796657971173,-5.732999410636542,-5.683228990988637,-5.16028824702239,-5.8459118973452755,-5.547460032079251,-5.723867086189155,-5.254566881435112
[7.5-8.0),,,,,,,,,,-6.219889824891728,-6.1076048021848885,-5.580812062071227,-5.313400809309628,-5.37077971739655,-5.443907615674163,-5.834824854592067,-5.87042094130908,-5.69890885608552,-4.992463959084437
[7.0-7.5),,,,,,,,,,-5.338836080906996,-5.362949528091019,-4.695164792898575,-5.349397015514618,-4.723329918857641,-4.796214967183084,-4.679492687874325,-5.53633327871228,-6.554583042540141,-4.919259446621778
[6.5-7.0),,,,,,,,,,-4.903038159220673,-5.656024062675749,-5.202014114609914,-4.851342799452677,-4.876006986142411,-4.5203431780329115,-4.465629844212195,-5.3347929752658585,-4.999517542871612,-4.5584100640542164
[6.0-6.5),,,,,,,,,-5.521279835233438,-5.127300392865158,-5.150012433699935,-5.238701332767532,-4.12117461542833,-4.4651547126861955,-4.25622735832263,-4.2880234246176725,-3.791638515749908,-4.026630749739962,-4.959647423222381
[5.5-6.0),,,,,,,,,-5.565662159430026,-4.58268029450151,-5.455828249091088,-3.906212309614449,-4.244969106885569,-4.623567994646607,-3.796857718733906,-4.013907857688566,-3.4962302475573255,-4.055217464114836,-5.040475798151777
[5.0-5.5),,,,,,,,-4.562201628548666,-4.740474628750899,-4.279013660175144,-4.010278520180431,-4.050831140398983,-3.9342553614710156,-3.3894312947706604,-3.166305800933618,-3.560160886656616,-3.6176180101454474,-3.4211430240841594,-3.684108352473485
[4.5-5.0),,,,,,,,-3.9754477456673945,-4.778887425617723,-3.5878430184793473,-3.4319757654561402,-3.4739981848782158,-3.5952764848773553,-3.145838350066544,-3.0345994656957656,-3.0246582097525545,-3.2149214098198344,-3.427201818901475,-3.5093917008823636
[4.0-4.5),,,,,,,-3.7152132966119913,-4.008980763586345,-3.5839868581433185,-3.362104996080654,-3.5360899986568826,-3.1829743150206316,-3.3792269230592322,-3.3689603299807156,-3.4978106798747546,-3.0887609664660283,-3.2241864757138656,-3.0806952415621254,-2.964596360123288
[3.5-4.0),,,,,,-3.9195142785124553,-3.510313270518221,-3.0952264370801723,-3.2334944052287127,-3.346321244565944,-2.9406370060001037,-2.8836800397799283,-2.4347635002049035,-2.6757652708660586,-2.7634015746728315,-2.921885211422891,-2.830580181418535,-2.6901324026378335,-2.718424637933742
[3.0-3.5),,,,,,-3.063356513152474,-2.99707107361922,-2.6644906833515773,-2.8859792990934676,-2.4106769369004484,-2.3568819703920267,-2.558240893654099,-2.1713652081711143,-2.479101052030993,-2.4388844350372465,-2.4626326945797876,-2.5569783872714127,-2.253347898977181,-2.051800619374762
[2.5-3.0),,,,,,-2.6679600867959183,-2.587575138020516,-2.9001158957183892,-2.607064954955144,-2.5752756523817517,-2.052315257134809,-2.340259492606088,-2.228444532975192,-2.2361505828797466,-2.019623794985187,-2.2903925022274403,-1.9742978038661512,-2.005002716615724,-2.1719512376912147
[2.0-2.5),,,,,-1.9376260712149564,-2.076463148844188,-2.4050501631211016,-1.9571798189563467,-2.683900350933195,-2.010489459845036,-2.415714603302889,-1.7960021257624952,-1.608845812547012,-1.8180011781317258,-1.7271969208115323,-1.6658743552386523,-1.777772783216394,-1.6560623523082423,-2.355475361463804
[1.5-2.0),,,,-1.6159877168708021,-1.636195423836235,-1.6092605597524754,-1.5307813842573907,-1.6548129131605998,-1.9742628826335051,-1.596092006060663,-1.6363108140648321,-1.4344129479083962,-1.5335271476851662,-1.590112671462467,-1.6904401630196821,-1.345046338140431,-1.1792195004526977,-1.4024471633864792,-1.3349928447775037
[1.0-1.5),,,-1.069515127897774,-0.992607434524954,-1.1835162805764323,-1.450780898867565,-1.3251739841422843,-1.2286426954324445,-1.110878954822237,-1.1584438846283787,-1.129498730075522,-0.9978701397064202,-1.3897433336214424,-0.9994433961040724,-1.0138629885595312,-0.8990810078408327,-0.907363028436352,-1.0209706962631395,-0.8765900356429709
[0.5-1.0),,-0.40933124999696385,-0.6099583297831545,-0.8172213878880422,-0.8156843928034829,-0.7915680113311249,-0.7769676553326713,-0.735512553848837,-0.7599230731380555,-0.6278070434353258,-0.6294064400586251,-0.7687911697445629,-0.5700028647612468,-0.732700383280948,-0.6367290945155224,-0.6043503917028268,-0.6647901734986066,-0.5581423164775493,-0.5117980463993671
[0.0-0.5),-0.05339344001750284,-0.14352390073499927,-0.1839777659825637,-0.23861185911512453,-0.25865385435272104,-0.2646145583354873,-0.23610468598333142,-0.23570592332768012,-0.24554331464509124,-0.20769488440238001,-0.19788957244333633,-0.2052026551223152,-0.21678515392971726,-0.1802085400318819,-0.24029451279198102,-0.19716001247525763,-0.18881828052799265,-0.18191793741207435,-0.18556694411290253
