"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.7884528363410608,0.6388625300705583,3.37191466122191,3.072110243263001,2.09481626599633,2.4496669239618014,1.5421508244269881,1.2651516166297876,1.583152058661919
[8.0-8.5),,,,,,,,,,1.741470813363721,0.5987831513130296,0.3573051738879147,2.2256617386406417,2.2474914865510187,1.8373854138241295,1.5487777192427716,1.1727425298518546,0.7378342317805686,1.71890279083944
[7.5-8.0),,,,,,,,,,1.2930531838100947,0.7653881048428236,0.5670232132958128,3.431884078636474,1.7706696876125336,2.0591354283753445,1.774381995613273,1.465643465698218,1.0197076874862379,0.30665646420926534
[7.0-7.5),,,,,,,,,,0.7130967931258939,0.3435846525059905,0.2812692113333699,3.2410801720701863,2.093753089573912,1.855225344567901,1.108855562082059,1.5598154836641271,1.0473436509912,0.2887425006808613
[6.5-7.0),,,,,,,,,,0.46542596781546736,0.3608182147981087,0.23631855990203307,1.9159722783763236,1.726279809661868,0.7608467554551658,0.33621594179492226,0.3740471368437614,0.5576166148426986,0.18107762665188587
[6.0-6.5),,,,,,,,,0.7111093588322656,0.42355059423640845,0.28977213438244204,0.23756853569735278,0.7420643247871156,0.4620616340804041,1.7633346024725172,0.4305114651442527,0.231540555953627,0.17600101462630444,0.2800988998759083
[5.5-6.0),,,,,,,,,0.5139281661284997,0.4022553642724743,0.255735449770451,0.15757517506685112,0.6947276756469493,0.776033647953073,0.41832971481215137,0.3055392906055497,0.24917772928687465,0.18937900349416759,0.19496748582153633
[5.0-5.5),,,,,,,,0.6653583721669563,0.45639249428398315,0.26118086684320907,0.19804896335519023,0.1788165358083918,0.4529013000324437,0.34781220356045317,0.3080103512513319,0.23870330078084434,0.1782964950282231,0.21768206108302637,0.1516335294818736
[4.5-5.0),,,,,,,,0.4519175051086667,0.5051151726280994,0.24526748592259442,0.1495531091958135,0.15397577785814334,0.4024305433960445,0.3588233645789669,0.24066475834485568,0.25069680381646453,0.169781795671504,0.17391718413759624,0.1192364218669103
[4.0-4.5),,,,,,,0.44766222001000533,0.488156151108859,0.4012642347611868,0.2165600854676243,0.13229067899696725,0.12899801049101317,0.3946641534539542,0.2554280821554941,0.24113194947838995,0.18815693443222073,0.17800836696664799,0.1362403164162252,0.1184448897382479
[3.5-4.0),,,,,,0.6719946162433733,0.5254721191133904,0.33280540022394506,0.2425564810724553,0.18015149085279117,0.113529916759829,0.09872039104492707,0.3175868434649214,0.23356912386706832,0.28399391718816425,0.15822186099206262,0.13842354929537465,0.1187005209091088,0.10425015263920617
[3.0-3.5),,,,,,0.42688864362238976,0.358662920251825,0.30058509571295067,0.2453666539887737,0.14461835475427195,0.10421848788525373,0.07293292369474182,0.21055720692908494,0.19268722491696277,0.15184468338537563,0.1387819430063844,0.108957589635603,0.09232206624930338,0.08834100627340821
[2.5-3.0),,,,,,0.3556337907345911,0.2885674037559428,0.25173002928143834,0.17224001040092374,0.12257544140482832,0.08122675483589466,0.06140582849108059,0.18695286023770788,0.16629708973763188,0.18238663979307568,0.1091943162282443,0.0911689551742737,0.08814816339841204,0.07878555710338676
[2.0-2.5),,,,,0.4315483619518634,0.3199535657014849,0.2293704418635286,0.168621323517496,0.17261119607229503,0.09030993225861143,0.07144716810255679,0.04559773562899676,0.14508919358545475,0.1312647438574725,0.10510623482012703,0.08995832039947305,0.08874700079902892,0.0865211038650859,0.0622712928770967
[1.5-2.0),,,,0.46701347640466406,0.29473554134701807,0.20877817551601235,0.1616067347883458,0.1463981004298972,0.10427312173079327,0.06891053414237072,0.04522563731174501,0.04242773516106335,0.12252339762422189,0.09978299551999965,0.08770393687253616,0.061985361283149985,0.05988131822411738,0.05355556660774654,0.05075157124666774
[1.0-1.5),,,0.4339362922098772,0.307077277202625,0.21153257358566244,0.14685501027089268,0.11515023493449118,0.1275859149117226,0.06740670164971505,0.049676209205448726,0.03220943683373651,0.0247694973803463,0.09329604116762852,0.07078282010841346,0.07241954476557443,0.04859926870521241,0.0553808706755992,0.04281339304846969,0.04005237521854405
[0.5-1.0),,0.4036482286986016,0.24418312575624815,0.170012616687639,0.12722454994294663,0.0910105410632043,0.0652341329131033,0.054200282554241336,0.043904745797815885,0.031714392204201,0.02016522883951041,0.017444935159550687,0.04495956420754018,0.04228992740501449,0.04085993327146262,0.02839715958929199,0.027480476981056146,0.024256997970872995,0.02595460962805993
[0.0-0.5),0.1372795278662809,0.14015184617867515,0.09496577438215498,0.06005512827763084,0.045215129422596,0.031727362532131265,0.022477273755071154,0.018705898122224642,0.01563601058256114,0.008690887031005044,0.007228254126901426,0.005828332162598729,0.0196295112959807,0.014383584988306417,0.012398345573060052,0.009551386114260001,0.008771158316003875,0.007978762973761055,0.006571523207348571
