"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-7.23663271039081,-7.534364637699493,-7.739027819151686,-8.66620803759534,-7.663968127369283,-9.891319239379614,-6.45227923279033,-7.967278834523158,-8.723694103194983
[8.0-8.5),,,,,,,,,,-7.89282167220524,-6.82933886110764,-6.428746525260802,-7.069242460483597,-7.400297411149137,-6.893034707002974,-6.813977190726078,-6.893911436399713,-7.886925028084765,-7.590476404672285
[7.5-8.0),,,,,,,,,,-8.413525905360196,-6.665325010748693,-6.114238064200287,-6.187625099894308,-5.980436001589466,-6.803489487328894,-7.272218251040531,-7.629284156287397,-7.837135933122244,-6.820369461650891
[7.0-7.5),,,,,,,,,,-6.122618587412883,-6.652050647449425,-5.986664683986113,-6.591109104615739,-5.813006334431253,-6.635171703953103,-5.992305812993,-6.889424505315728,-7.3827318976897285,-6.443129369260177
[6.5-7.0),,,,,,,,,,-6.20308783025244,-6.231252418691349,-5.7061309597525725,-5.980761113648703,-6.20466896738929,-5.382294744910687,-5.9114457071556075,-5.999931570618435,-5.254422622314431,-5.620348356590049
[6.0-6.5),,,,,,,,,-6.1089652757917925,-5.747689381964377,-6.036660014674939,-6.136223761413668,-5.859321739451838,-5.2063781510720375,-7.1843510774008115,-5.497127428905027,-4.62207977543387,-5.142413120632775,-6.584649656994508
[5.5-6.0),,,,,,,,,-6.149187208000157,-5.415545530836331,-6.284942671755709,-5.164661727058674,-4.999843225524435,-5.300475780058222,-4.969201068303175,-4.948309666426305,-4.600665737825608,-5.303097224248244,-5.375805898408276
[5.0-5.5),,,,,,,,-5.292312188758247,-4.912893905866339,-4.896233665430587,-6.109802232556266,-5.067352770379837,-4.675057689747237,-4.368740893808548,-3.924783889259888,-4.476616566950305,-4.296787192060725,-4.505905467260298,-4.028897320960463
[4.5-5.0),,,,,,,,-4.253331411794995,-5.477768065198815,-4.0497020350584085,-4.278435583719551,-4.370062423602414,-4.214143158445842,-4.030403239188892,-4.218419279500197,-4.050140977460939,-3.4575216122486654,-3.974259999236408,-3.7422910304180474
[4.0-4.5),,,,,,,-3.9776503644934964,-4.006258194151966,-3.7792857912840985,-3.783504213895023,-3.9040954250607354,-3.726988412254905,-3.9720483478456887,-3.5233226757408884,-4.42355121354533,-3.704511623984858,-3.5923394562274145,-3.838250199634,-3.729478215115359
[3.5-4.0),,,,,,-3.928469421617126,-3.7616814632122955,-3.2132932850120586,-3.262645802821459,-3.393473711114296,-3.241201892346777,-3.252083643097073,-3.22666244471202,-3.305429476301982,-3.136660283719249,-3.782492258731808,-3.1954735580084956,-2.7942840805003555,-3.2063928926630436
[3.0-3.5),,,,,,-3.043081764998538,-2.9937253831132997,-2.84821137787957,-2.8922707343183376,-2.4104511922671796,-2.5089944591932283,-2.7843019760423857,-2.9296955541017677,-2.6561952661778934,-2.9554059213734156,-2.525219500477954,-3.269208474868197,-2.6344825214884877,-2.471857051486669
[2.5-3.0),,,,,,-2.551137961426099,-2.6538350021508483,-2.8058208230815835,-2.675602962770763,-2.7714366436204982,-2.3032421676154997,-2.4465006283522404,-2.4853411132687535,-2.4594530221729887,-2.523994260977276,-2.519637875050402,-2.5163078820095994,-2.3986383432719727,-2.445058355560436
[2.0-2.5),,,,,-2.069073495322211,-2.1058813602874684,-2.065157353426061,-1.7888909760071754,-2.6320757541260127,-2.1388989357128403,-2.523311041813828,-2.123669992721613,-1.8448024936789433,-1.8772581845178715,-1.9044145599538425,-1.9470297083661994,-1.9163514947278222,-2.0046959130861515,-2.3184941812836684
[1.5-2.0),,,,-1.7031639740628932,-2.1078620711714793,-1.5785296994517,-1.4740227410245137,-1.6938293854748625,-1.8171263735165986,-1.8018651603202143,-1.682397807341037,-1.416299667609555,-1.7122307335964737,-1.64718028404187,-1.718003685091697,-1.5494398424845062,-1.3368681890937044,-1.69641687483507,-1.3960475721620895
[1.0-1.5),,,-1.1216513727336537,-1.228423521865129,-1.395320648795205,-1.2203440296209547,-1.1415075718828516,-1.1933979372267498,-1.1846153564106459,-1.1738975521888326,-1.122650819624726,-1.0707300155680666,-1.4356338938635387,-0.9918165196136819,-1.0632681433608628,-1.043679662988558,-0.9548198991983464,-1.106711527084679,-0.923382534916893
[0.5-1.0),,-0.820042339065866,-0.749022569796613,-0.7095999405564938,-0.7468472157253537,-0.8186067956730915,-0.6782461160905704,-0.7233591155748299,-0.8038012779451582,-0.6368858530871784,-0.6672564188272999,-0.9356509953573586,-0.6360198030259008,-0.8094776550645856,-0.6657683819948331,-0.5764063220019255,-0.6953241736252423,-0.7016435318868125,-0.5864895756613518
[0.0-0.5),-0.26503902501429694,-0.24271147834951373,-0.29474923068628467,-0.22812156399398079,-0.22414230274366534,-0.2424103631159562,-0.23391021853800884,-0.22002863861816516,-0.2316113426338852,-0.21346295073340069,-0.21803371229426047,-0.20564563421891474,-0.22257926125988034,-0.19334502157242348,-0.23737991306280493,-0.20521483879145125,-0.22021701303034377,-0.2196170903218778,-0.195649509545096
