"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,9.95832895305492,9.760522208330928,3.5599960400315918,3.4109528529526636,3.5277204976316447,22.205364265775376,3.343618203778667,15.787459281574202,15.7845582490187
[8.0-8.5),,,,,,,,,,3.536925955763845,3.676444226136905,3.537590220648088,3.480032509410856,3.4559307477065744,3.485800715471563,3.348023949427155,3.325146016376453,9.55164010082513,9.402786832558773
[7.5-8.0),,,,,,,,,,3.5444407333514345,3.767099651473964,9.82669446468771,3.4784208048669463,3.413653951611371,9.565078532049391,3.3699608597378083,9.48518240511153,15.676092809972491,3.089666104262583
[7.0-7.5),,,,,,,,,,3.436148482076476,3.4756419775095804,3.440974018227249,3.4082577016113906,3.4137151927771274,3.3078820830683457,3.279391174918925,3.2808677744318935,9.444887897319257,3.0847338626012633
[6.5-7.0),,,,,,,,,,3.367559720202748,3.4940362741889492,3.371092099808915,3.404930468792016,3.2725821269704443,3.2548159517784567,3.2128455288016586,3.158060702520233,3.178752617776124,3.0911696493960763
[6.0-6.5),,,,,,,,,3.0604488671897614,3.3840900945596517,3.4577247400238127,3.5380662385789234,3.279820130992009,3.223338433133183,3.215427888881262,3.1496042918939917,3.102678440048839,3.059793775012417,3.0890717791916016
[5.5-6.0),,,,,,,,,3.0221560208522122,3.3222367567556708,3.5890323807355253,3.26878435067678,3.1791962239476916,3.2935317970548375,3.231822784523502,3.103061063309699,3.0722678813324658,2.980378717785163,2.9592436462669416
[5.0-5.5),,,,,,,,2.6389923726991213,2.918253997818744,3.253077401932617,3.3018623534106872,3.3960504317618767,3.193753732662681,3.140017331265472,3.110614295210479,3.099696114076031,3.062455571243105,2.9400914814207875,2.941191856456154
[4.5-5.0),,,,,,,,2.511660606905492,2.9673867336130915,3.2480791240077433,3.199053846165971,3.2424452263931434,3.0886914732104853,3.068857481088461,3.014687406912546,2.9711716185536,2.9385524919883896,2.894751189214756,2.8668630478865667
[4.0-4.5),,,,,,,2.139389902916756,2.5463761655603196,2.7075600716359665,3.0945412637656062,3.21727931075421,3.138217491810985,3.0708076411296945,2.96109094555554,3.019530447660388,2.931675466274265,2.9157087758914058,2.8054460721755268,2.8058629881183927
[3.5-4.0),,,,,,1.5672731683034509,2.092815453745045,2.1514590644450036,2.5659966387518445,2.983272304746934,3.0105960795876263,2.929817108526536,2.857202714285667,2.90960515905667,2.8051804350368954,2.776967019898219,2.7604961857364456,2.781608918204362,2.6441104060751037
[3.0-3.5),,,,,,1.288281509845618,1.622280632626474,2.099676666475974,2.3822130710287777,2.7603099926745647,2.821829991662241,2.9276084135160323,2.772839864314758,2.7920652937360497,2.7392308257929816,2.7340829256452515,2.6235955953452086,2.616095754046203,2.520662338258334
[2.5-3.0),,,,,,1.1728989295679928,1.5201455053062767,1.9332644624256918,2.344364993480375,2.748654001557146,2.8020513131882607,2.744298543196358,2.663220888728717,2.7803640239111096,2.6516837454306854,2.6285715927965283,2.5694892013630444,2.4535356985591346,2.454396770413485
[2.0-2.5),,,,,0.7155146883332422,0.8684801033724119,1.2129364059069982,1.3609761653746277,2.2291592919327323,2.6160496609924597,2.8571789141100314,2.5650004825524966,2.4725291496052915,2.5459172239701786,2.461509712468856,2.412057220216464,2.5246980195578224,2.312848874110018,2.3961259485783235
[1.5-2.0),,,,0.4339500021163619,0.6152339118417935,0.7377767846345002,0.8980109336493306,1.2425158125139468,1.5593646375696717,2.241877902801413,2.2810813627525235,2.2961211737023417,2.3471615518636457,2.347377695045806,2.4403153174131704,2.1177207669650677,2.048933182907037,2.248415708998252,2.012880068623109
[1.0-1.5),,,0.1995555728756797,0.2780648539025321,0.42919306373787214,0.5919386319065553,0.746964472150089,0.8897669882909478,1.1897110267917261,1.5623981601065022,1.7531132738220059,1.8326151866380838,2.022034205117128,1.7420413297852724,1.8180032020558294,1.8031481240163894,1.7578361132407014,1.7577062874111986,1.4927126441452976
[0.5-1.0),,0.07258524150134123,0.12906135965899673,0.19336940906077071,0.2787102712578124,0.3394876883515473,0.4737620024522382,0.5133057147595073,0.7889174161836242,0.9164325436137779,1.1772187294706278,1.526123347195842,1.2575393359682565,1.342424538238951,1.3113985519908824,1.338378439880167,1.2272305174259692,1.1485857516747946,1.0862382073312964
[0.0-0.5),0.009113343357171776,0.025225563794494234,0.03854737671346013,0.060762841850056544,0.08173584728477086,0.10242783531638677,0.14554280232700814,0.18792968363208357,0.24240574691387526,0.3398254951706138,0.37918806374760333,0.441518967133383,0.45220666616916616,0.43017151906378726,0.5085985141428799,0.5191042564683168,0.48019680542098153,0.5411009684049615,0.44045533415686544
